0x00A1  ¡ INVERTED EXCLAMATION MARK
0x00A2  ¢ CENT SIGN
0x00A3  £ POUND SIGN
0x00A4  ¤ CURRENCY SIGN
0x00A5  ¥ YEN SIGN
0x00A6  ¦ BROKEN BAR
0x00A7  § SECTION SIGN
0x00A8  ¨ DIAERESIS
0x00A9  © COPYRIGHT SIGN
0x00AA  ª FEMININE ORDINAL INDICATOR
0x00AB  « LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00AC  ¬ NOT SIGN
0x00AD  ­ SOFT HYPHEN
0x00AE  ® REGISTERED SIGN
0x00AF  ¯ MACRON
0x00B0  ° DEGREE SIGN
0x00B1  ± PLUS-MINUS SIGN
0x00B2  ² SUPERSCRIPT TWO
0x00B3  ³ SUPERSCRIPT THREE
0x00B4  ´ ACUTE ACCENT
0x00B5  µ MICRO SIGN
0x00B6  ¶ PILCROW SIGN
0x00B7  · MIDDLE DOT
0x00B8  ¸ CEDILLA
0x00B9  ¹ SUPERSCRIPT ONE
0x00BA  º MASCULINE ORDINAL INDICATOR
0x00BB  » RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00BC  ¼ VULGAR FRACTION ONE QUARTER
0x00BD  ½ VULGAR FRACTION ONE HALF
0x00BE  ¾ VULGAR FRACTION THREE QUARTERS
0x00BF  ¿ INVERTED QUESTION MARK
0x00C0  À LATIN CAPITAL LETTER A WITH GRAVE
0x00C1  Á LATIN CAPITAL LETTER A WITH ACUTE
0x00C2  Â LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x00C3  Ã LATIN CAPITAL LETTER A WITH TILDE
0x00C4  Ä LATIN CAPITAL LETTER A WITH DIAERESIS
0x00C5  Å LATIN CAPITAL LETTER A WITH RING ABOVE
0x00C6  Æ LATIN CAPITAL LETTER AE
0x00C7  Ç LATIN CAPITAL LETTER C WITH CEDILLA
0x00C8  È LATIN CAPITAL LETTER E WITH GRAVE
0x00C9  É LATIN CAPITAL LETTER E WITH ACUTE
0x00CA  Ê LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x00CB  Ë LATIN CAPITAL LETTER E WITH DIAERESIS
0x00CC  Ì LATIN CAPITAL LETTER I WITH GRAVE
0x00CD  Í LATIN CAPITAL LETTER I WITH ACUTE
0x00CE  Î LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x00CF  Ï LATIN CAPITAL LETTER I WITH DIAERESIS
0x00D0  Ð LATIN CAPITAL LETTER ETH
0x00D1  Ñ LATIN CAPITAL LETTER N WITH TILDE
0x00D2  Ò LATIN CAPITAL LETTER O WITH GRAVE
0x00D3  Ó LATIN CAPITAL LETTER O WITH ACUTE
0x00D4  Ô LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0x00D5  Õ LATIN CAPITAL LETTER O WITH TILDE
0x00D6  Ö LATIN CAPITAL LETTER O WITH DIAERESIS
0x00D7  × MULTIPLICATION SIGN
0x00D8  Ø LATIN CAPITAL LETTER O WITH STROKE
0x00D9  Ù LATIN CAPITAL LETTER U WITH GRAVE
0x00DA  Ú LATIN CAPITAL LETTER U WITH ACUTE
0x00DB  Û LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x00DC  Ü LATIN CAPITAL LETTER U WITH DIAERESIS
0x00DD  Ý LATIN CAPITAL LETTER Y WITH ACUTE
0x00DE  Þ LATIN CAPITAL LETTER THORN
0x00DF  ß LATIN SMALL LETTER SHARP S
0x00E0  à LATIN SMALL LETTER A WITH GRAVE
0x00E1  á LATIN SMALL LETTER A WITH ACUTE
0x00E2  â LATIN SMALL LETTER A WITH CIRCUMFLEX
0x00E3  ã LATIN SMALL LETTER A WITH TILDE
0x00E4  ä LATIN SMALL LETTER A WITH DIAERESIS
0x00E5  å LATIN SMALL LETTER A WITH RING ABOVE
0x00E6  æ LATIN SMALL LETTER AE
0x00E7  ç LATIN SMALL LETTER C WITH CEDILLA
0x00E8  è LATIN SMALL LETTER E WITH GRAVE
0x00E9  é LATIN SMALL LETTER E WITH ACUTE
0x00EA  ê LATIN SMALL LETTER E WITH CIRCUMFLEX
0x00EB  ë LATIN SMALL LETTER E WITH DIAERESIS
0x00EC  ì LATIN SMALL LETTER I WITH GRAVE
0x00ED  í LATIN SMALL LETTER I WITH ACUTE
0x00EE  î LATIN SMALL LETTER I WITH CIRCUMFLEX
0x00EF  ï LATIN SMALL LETTER I WITH DIAERESIS
0x00F0  ð LATIN SMALL LETTER ETH
0x00F1  ñ LATIN SMALL LETTER N WITH TILDE
0x00F2  ò LATIN SMALL LETTER O WITH GRAVE
0x00F3  ó LATIN SMALL LETTER O WITH ACUTE
0x00F4  ô LATIN SMALL LETTER O WITH CIRCUMFLEX
0x00F5  õ LATIN SMALL LETTER O WITH TILDE
0x00F6  ö LATIN SMALL LETTER O WITH DIAERESIS
0x00F7  ÷ DIVISION SIGN
0x00F8  ø LATIN SMALL LETTER O WITH STROKE
0x00F9  ù LATIN SMALL LETTER U WITH GRAVE
0x00FA  ú LATIN SMALL LETTER U WITH ACUTE
0x00FB  û LATIN SMALL LETTER U WITH CIRCUMFLEX
0x00FC  ü LATIN SMALL LETTER U WITH DIAERESIS
0x00FD  ý LATIN SMALL LETTER Y WITH ACUTE
0x00FE  þ LATIN SMALL LETTER THORN
0x00FF  ÿ LATIN SMALL LETTER Y WITH DIAERESIS
0x0131  ı LATIN SMALL LETTER DOTLESS I
0x0152  Œ LATIN CAPITAL LIGATURE OE
0x0153  œ LATIN SMALL LIGATURE OE
0x02C6  ˆ MODIFIER LETTER CIRCUMFLEX ACCENT
0x02DA  ˚ RING ABOVE
0x02DC  ˜ SMALL TILDE
0x2018  ‘ LEFT SINGLE QUOTATION MARK
0x2019  ’ RIGHT SINGLE QUOTATION MARK
0x201A  ‚ SINGLE LOW-9 QUOTATION MARK
0x201C  “ LEFT DOUBLE QUOTATION MARK
0x201D  ” RIGHT DOUBLE QUOTATION MARK
0x201E  „ DOUBLE LOW-9 QUOTATION MARK
0x2022  • BULLET
0x2026  … HORIZONTAL ELLIPSIS
0x2039  ‹ SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x203A  › SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x2044  ⁄ FRACTION SLASH
0x2074  ⁴ SUPERSCRIPT FOUR
0x20AC  € EURO SIGN
0x2212  − MINUS SIGN
0x2215  ∕ DIVISION SLASH
